"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2026","73.04","73.99","74.57","72.71","13.49K","-1.22%"
"05/01/2026","73.94","73.61","75.06","73.60","10.14K","0.20%"
"04/30/2026","73.79","73.00","74.00","72.43","18.23K","0.81%"
"04/29/2026","73.20","75.23","76.04","72.85","27.16K","-2.54%"
"04/28/2026","75.11","74.70","75.79","74.65","17.59K","0.50%"
"04/27/2026","74.74","74.76","75.50","74.15","15.28K","-0.21%"
"04/24/2026","74.90","75.02","75.89","74.19","16.31K","0.07%"
"04/23/2026","74.85","74.11","75.13","74.11","14.69K","0.59%"
"04/22/2026","74.41","75.49","76.19","74.09","17.84K","-1.70%"
"04/21/2026","75.70","75.92","76.14","74.81","17.94K","-0.56%"
"04/20/2026","76.13","76.66","76.95","75.61","18.17K","-1.72%"
"04/17/2026","77.46","75.12","78.07","74.91","31.65K","3.29%"
"04/16/2026","74.99","74.31","75.80","73.56","19.70K","1.13%"
"04/15/2026","74.15","74.45","75.50","74.06","18.87K","-0.96%"
"04/14/2026","74.87","72.56","75.20","72.42","25.30K","3.14%"
"04/13/2026","72.59","72.45","72.85","71.60","20.30K","-0.34%"
"04/10/2026","72.84","73.83","73.83","72.45","13.27K","-1.19%"
"04/09/2026","73.72","71.55","73.77","71.30","20.31K","2.86%"
"04/08/2026","71.67","72.60","73.97","71.47","20.22K","0.22%"
"04/07/2026","71.51","71.65","72.55","71.21","17.38K","-0.25%"
"04/02/2026","71.69","74.46","74.46","71.25","25.93K","-3.95%"
"04/01/2026","74.64","72.54","74.91","72.22","35.14K","2.94%"
"03/31/2026","72.51","72.48","73.34","71.55","21.04K","0.46%"
"03/30/2026","72.18","71.41","73.97","70.94","33.24K","0.71%"
"03/27/2026","71.67","71.34","72.47","71.11","24.32K","0.03%"
"03/26/2026","71.65","71.14","72.75","70.40","27.99K","1.29%"
"03/25/2026","70.74","71.50","73.16","68.51","36.20K","-0.67%"
"03/24/2026","71.22","69.10","71.80","68.28","29.67K","2.83%"
"03/23/2026","69.26","67.18","70.03","65.72","37.87K","2.36%"
"03/20/2026","67.66","63.10","69.80","63.10","44.91K","6.30%"
"03/19/2026","63.65","65.13","65.50","63.07","53.08K","-3.37%"
"03/18/2026","65.87","66.65","67.45","65.72","44.11K","-1.17%"
"03/17/2026","66.65","68.50","68.55","64.93","52.13K","-3.41%"
"03/16/2026","69.00","69.16","70.35","68.38","33.45K","-0.23%"
"03/13/2026","69.16","68.50","69.48","67.60","33.10K","0.63%"
"03/12/2026","68.73","71.87","72.61","67.82","71.94K","-4.36%"
"03/11/2026","71.86","73.65","74.48","71.36","35.05K","-1.44%"
"03/10/2026","72.91","71.19","73.55","71.00","38.91K","2.83%"
"03/09/2026","70.90","69.97","71.30","69.20","42.04K","0.47%"
"03/06/2026","70.57","70.69","71.73","69.88","36.71K","0.31%"
"03/05/2026","70.35","70.39","70.89","69.53","38.43K","-0.58%"
"03/04/2026","70.76","73.35","73.80","70.26","43.96K","-3.50%"
"03/03/2026","73.33","70.10","74.84","69.50","58.61K","3.91%"
"03/02/2026","70.57","68.70","71.20","67.90","56.84K","0.40%"
"02/27/2026","70.29","70.90","71.90","69.80","29.19K","-0.96%"
"02/26/2026","70.97","72.39","72.53","69.25","45.54K","-2.22%"
"02/25/2026","72.58","70.79","72.97","70.79","25.29K","2.70%"
"02/24/2026","70.67","71.50","71.93","70.15","33.02K","-0.99%"
"02/23/2026","71.38","73.06","73.70","71.27","32.51K","-3.25%"
"02/20/2026","73.78","71.40","74.50","71.14","31.54K","3.42%"
"02/19/2026","71.34","71.88","72.88","71.05","43.68K","-0.32%"
"02/18/2026","71.57","69.93","72.15","68.73","45.36K","2.13%"
"02/17/2026","70.08","69.00","71.22","68.57","43.91K","1.30%"
"02/16/2026","69.18","70.10","71.55","68.11","49.55K","-2.12%"
"02/13/2026","70.68","72.00","74.26","70.55","66.32K","-2.56%"
"02/12/2026","72.54","77.50","77.50","72.00","90.92K","-7.53%"
"02/11/2026","78.45","78.85","79.15","76.10","53.35K","-0.52%"
"02/10/2026","78.86","81.30","82.00","78.49","45.20K","-3.06%"
"02/09/2026","81.35","79.59","81.75","78.88","34.72K","3.33%"
"02/06/2026","78.73","78.18","79.72","76.20","69.79K","0.68%"
"02/05/2026","78.20","82.72","83.02","77.80","71.68K","-5.69%"
"02/04/2026","82.92","81.12","83.50","80.00","47.68K","-0.23%"
"02/03/2026","83.11","83.89","84.84","81.20","49.17K","-0.20%"
"02/02/2026","83.28","80.61","84.00","79.46","46.76K","2.49%"
"01/30/2026","81.26","83.25","84.11","80.61","56.12K","-3.24%"
"01/29/2026","83.98","85.93","86.00","83.39","61.24K","-2.96%"
"01/28/2026","86.54","88.39","88.54","85.75","32.79K","-2.07%"
"01/27/2026","88.37","87.23","88.71","87.23","25.98K","1.42%"
"01/26/2026","87.13","88.30","89.30","86.26","37.03K","-1.44%"
"01/23/2026","88.40","88.30","89.73","88.00","27.68K","-0.08%"
"01/22/2026","88.47","89.15","90.82","87.75","51.61K","1.62%"
"01/21/2026","87.06","84.74","87.48","84.26","59.55K","2.47%"
"01/20/2026","84.96","88.00","88.28","83.52","95.09K","-3.61%"
"01/19/2026","88.14","91.30","91.30","87.97","65.91K","-4.24%"
"01/16/2026","92.04","92.23","93.61","91.76","32.03K","-0.22%"
"01/15/2026","92.24","92.19","93.80","91.75","41.76K","0.46%"
"01/14/2026","91.82","90.52","92.36","90.22","33.82K","1.19%"
"01/13/2026","90.74","90.40","91.08","90.18","29.98K","0.71%"
"01/12/2026","90.10","89.86","90.42","89.41","30.91K","0.60%"
"01/09/2026","89.56","88.39","89.66","88.03","31.85K","1.55%"
"01/08/2026","88.19","87.60","88.34","87.10","26.89K","0.07%"
"01/07/2026","88.13","88.20","88.75","87.76","27.85K","0.03%"
"01/06/2026","88.10","87.51","88.15","87.13","22.53K","0.97%"
